,database,scenario,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,49838.06690070023,36592.683162076,28893.47089706959,32390.21936692663,36088.77761519221,34550.51023418109,34111.95512651431,33849.772235069395,32970.293188510455,33127.572596128215
1,B.sqlite,solve,49838.066900700236,39267.78860283293,30437.08000671569,21080.39969856967,7937.67253713418,7919.69165563533,6257.381175198535,5034.921917565371,4505.148464328001,1677.5762123302004
