,database,scenario,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,5.9761326144757625,6.386024457264695,6.933739820247214,11.282651661172823,11.64159068105341,12.021212456691694,12.586315887597461,13.838146260689834,13.517488551578433,16.64402071975377
1,B.sqlite,solve,5.973465809303544,7.270653994371569,8.353326067710434,13.728100769010855,21.6646886434968,21.8545056571172,22.327557637163284,28.20236957209334,23.031014621407177,27.100308300589166
