,database,scenario,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,41838.79666610543,28025.50230760344,20167.254500285337,22980.491149416503,25002.810239902246,26659.820128880496,29043.559094728076,29520.804897531405,31951.18588817194,32986.53001380825
1,B.sqlite,solve,42021.716445533646,25204.74723701761,13987.334265453723,12631.482429486721,5932.7173512019135,5932.717351201915,4899.529609777355,4672.164026119422,4711.586976513504,3678.98244039848
