,database,scenario,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,49702.267747815735,43853.516848129926,33619.089503180505,29625.462700330077,32113.44847392439,33405.11489847635,35315.182730440174,37407.23278309185,38057.78269674837,39769.0899543534,42033.105582829965,43860.537272558504
1,B.sqlite,solve,49702.26773825872,46593.632469245014,34826.769834579514,29868.665400534876,30416.737818133563,3961.5032595525818,5382.154167554137,5266.143765748036,5174.215996133119,5219.361603307278,5169.244422885364,5142.316182427461
