,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,27001.813354934762,25276.209203554292,8114.324917602569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,HYDRO,2423.0605108273394,2391.3288299686205,2338.026809092645,2271.6180173728508,2271.6180173728508,2200.172308426805,2135.5140055972997,2106.923177518871,2121.6872816973496,2120.175523918362,2120.175523918362,2094.935108342614
6,A.sqlite,solve,MSW_LF_TAXED,4.906222348369418,4.70179478153921,4.70179478153921,4.599580998124106,4.599580998124106,3.424122488850407,3.424122488850407,3.424122488850407,3.3730155971428544,4.244166173589774,4.241832756171241,4.241832756171241
7,A.sqlite,solve,NATGAS_TAXED,60897.45465705127,57559.18821660286,75266.50288876878,85534.39877259424,92118.59838230617,99960.10994616279,105674.05516920621,111932.26078096288,113878.59780288102,119002.96307359156,125789.28057102108,131255.34805392177
8,A.sqlite,solve,NUCLEAR,29696.66113486839,29647.817662607096,29638.04896815484,29638.048968154846,29638.048968154842,29214.491606704898,29214.887662260775,29217.901106707624,29218.20774559676,29526.39055139886,29563.15557920604,29563.15557920604
9,A.sqlite,solve,OIL_TAXED,318.8820912273279,256.4657343607281,68.85391394397203,72.70403894705213,77.17266395062703,2.2411352240151308,2.2411352240151308,2.2411352240151308,2.190028335085356,0.0,0.0,0.0
10,A.sqlite,solve,SOLAR,907.3517365869925,12829.409622680201,18171.250055278666,23454.212867385573,25546.33188492039,28381.107382654878,32019.603894012926,35104.97837678119,42462.67859508403,46353.20072156224,48849.67950679642,52727.52167059312
11,A.sqlite,solve,WIND,2.7159444132838675,2.6027791576377797,2.6027791576377797,2.5461965298147358,2.5461965298147358,1.980370251584297,1.980370251584297,1.952078937672775,1.952078937672775,0.7921495550781652,0.0,0.0
12,B.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,B.sqlite,solve,COAL_TAXED,27001.813354934762,26503.280632313723,8502.071706801647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B.sqlite,solve,DSL_TAXED,0.0,0.1423691945583398,0.1423691945583398,0.9965570257972456,0.0,0.0,3.1320949441723456,3.1320949441723447,2.1610773600621958,2.774346052219479,2.263277140699512,2.263277140699512
15,B.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,89.14166072487724,89.1416608719522,89.14166087359945,89.14166078534944,89.14166076312725,0.0
16,B.sqlite,solve,ELC_DIST,0.0,678.5175212928141,3561.2979777879273,7997.043785842082,11729.106528220505,42688.6007763731,44120.54762612703,45798.72899448902,47184.26432988352,48685.6980022597,50290.4804370296,51942.575916254114
17,B.sqlite,solve,HYDRO,2423.0605108273394,2285.778396828624,2322.098848524347,2398.052715807333,2423.0605108273394,1918.252199312379,1918.2521993123785,1918.252199312379,1918.2521993123787,1918.2521993123787,1918.2521993123787,1918.2521993123787
18,B.sqlite,solve,MSW_LF_TAXED,4.906222348369418,4.599580998124106,4.70179478153921,4.292939647878793,4.292939647878793,3.884084514218376,3.8840845142183755,3.884084514218376,3.884084514218376,3.884084514218376,3.884084514218376,3.884084514218376
19,B.sqlite,solve,NATGAS_TAXED,60897.45465705128,54089.300889660306,65773.18147539628,72421.45305515938,74559.72648931437,9946.769235735199,4653.411703722725,4477.417136387486,4363.972001268951,4332.071059021208,4206.942934198884,4139.280301366976
20,B.sqlite,solve,NUCLEAR,29696.661134868395,29638.048968154846,29592.4616903406,29566.41180143087,29566.41180143087,29331.962690132208,29462.2121902364,29462.21219023639,29462.2121902364,29462.212190236394,29442.674773554103,29371.03755127457
21,B.sqlite,solve,OIL_TAXED,318.8820912273279,416.15953254403877,1013.6144701470031,1512.7129441573927,1074.275114748309,0.0,5114.537993163856,5047.839848666053,4981.141701390471,5064.645587457274,5064.645587457273,5064.645587457277
22,B.sqlite,solve,SOLAR,907.3517365869925,15606.92471887443,27606.981387974465,37118.60233336155,44704.458978180264,86226.04774792529,89201.10869971641,92927.31906780852,94901.12808898196,98300.24236128652,101015.72700347086,104664.68179980676
23,B.sqlite,solve,WIND,2.7159444132838675,2.5461965298147358,2.6027791576377797,2.6027791576377797,2.7159444132838675,39971.473038999335,46598.74346096776,52727.71838253747,60496.548438752616,66626.89538990674,73655.76717559076,79739.57762767997
