,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
32,B.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,B.sqlite,solve,ED_SOLPV,0.0,14938.40997692295,26862.98021818482,36236.25839318346,43797.10724159327,85837.18271786418,88812.24366965532,92538.45403774745,94512.26305892086,98170.62068546977,101015.72700347086,104664.68179980676
34,B.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,39969.32292086432,46596.593342832755,52725.568264402486,60494.39832061763,66626.17868385624,73655.76717559076,79739.57762767997
35,B.sqlite,solve,EX_COAL,27001.813354934762,26503.280632313723,8502.071706801647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,B.sqlite,solve,EX_DSL_CC,0.0,0.07300984450285232,0.07300984450285232,0.5110548920755106,0.0,0.0,1.606202559618296,1.606202559618296,1.606202559618296,2.774346052219479,2.263277140699512,2.263277140699512
37,B.sqlite,solve,EX_DSL_SIMP,0.0,0.06935935005548749,0.06935935005548749,0.4855021337217351,0.0,0.0,1.5258923845540466,1.5258923845540466,0.5548748004438999,0.0,0.0,0.0
38,B.sqlite,solve,EX_HYDRO,2423.0605108273394,2285.778396828624,2322.098848524347,2398.052715807333,2423.0605108273394,1918.252199312379,1918.2521993123785,1918.252199312379,1918.2521993123787,1918.2521993123787,1918.2521993123787,1918.2521993123787
39,B.sqlite,solve,EX_MSW_LF,4.906222348369418,4.599580998124106,4.70179478153921,4.292939647878793,4.292939647878793,3.884084514218376,3.8840845142183755,3.884084514218376,3.884084514218376,3.884084514218376,3.884084514218376,3.884084514218376
40,B.sqlite,solve,EX_NG_CC,60897.45465705128,54089.300889660306,65773.18147539628,72421.45305515938,74559.72648931437,9946.769235735199,4653.411703722725,4477.417136387486,4363.972001268951,4332.071059021208,4206.942934198884,4139.280301366976
41,B.sqlite,solve,EX_NUCLEAR,29696.661134868395,29638.048968154846,29592.4616903406,29566.41180143087,29566.41180143087,29331.962690132208,29462.2121902364,29462.21219023639,29462.2121902364,29462.212190236394,29442.674773554103,29371.03755127457
42,B.sqlite,solve,EX_OIL_TYPE1,318.8820912273279,416.0349594994947,1012.7424827546386,1511.8409567650283,1074.275114748309,0.0,5111.049995755509,5044.351851257706,4977.653703982125,5059.911859603488,5059.911859603487,5059.911859603488
43,B.sqlite,solve,EX_OIL_TYPE2,0.0,0.05293213615345682,0.37051478918530073,0.37051478918530073,0.0,0.0,1.4820794845189962,1.4820794845189962,1.4820794845189962,2.0114008460535637,2.0114008460535637,2.0114008460535633
44,B.sqlite,solve,EX_OIL_TYPE3,0.0,0.07164090839064606,0.5014726031789559,0.5014726031789559,0.0,0.0,2.0059179238269556,2.0059179238269556,2.0059179238269556,2.722327007733417,2.722327007733417,2.7223270077334174
45,B.sqlite,solve,EX_SOLPV,907.3517365869925,668.5147419514785,744.0011697896452,882.3439401780975,907.3517365869924,388.86503006109206,388.8650300610922,388.86503006109206,388.86503006109206,129.62167581675288,0.0,0.0
46,B.sqlite,solve,EX_WIND,2.7159444132838675,2.5461965298147358,2.6027791576377797,2.6027791576377797,2.7159444132838675,2.1501181350534284,2.1501181350534284,2.1501181350534284,2.1501181350534284,0.7167060505733657,0.0,0.0
