,database,scenario,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,49756.129633466975,41747.93968012638,32677.847856965484,28316.55152818258,29832.552152265373,33370.35530263557,35282.72993575677,37351.29180354344,38023.162400225556,39763.585862435255,40955.81781370609,41693.25875495464
1,B.sqlite,solve,49755.909518720786,46596.05777101552,34850.14300219446,29903.034787933713,30461.163675419535,12859.781007043719,14365.930480936844,14287.239865286514,14173.616592125574,14037.391463510967,13114.264300947372,13140.189388405377
