,database,scenario,2018,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,24234.181984036313,8227.739146360995,7928.758722920996,0.0,0.0,0.0,0.0
1,B.sqlite,solve,24234.181978847984,23800.000046982652,11900.000016286402,0.0,0.0,0.0,0.0
2,C.sqlite,solve,24234.181999454562,8231.662817477998,7979.681250810994,7328.119327099996,5692.637383984101,4469.386085745002,778.2971710879001
3,D.sqlite,solve,24234.182000665263,24967.777063921203,20390.49005646483,20104.34018701679,19330.215818513596,19489.197182164542,18888.504103164978
