,database,scenario,avgEmissions
0,A.sqlite,solve,6803.4823832199745
1,B.sqlite,solve,12319.64556370655
2,C.sqlite,solve,8670.961076818176
3,D.sqlite,solve,13882.943284559986
4,E.sqlite,solve,6803.482394194711
5,F.sqlite,solve,13045.798291255674
6,G.sqlite,solve,8856.779493414879
7,H.sqlite,solve,23790.218238544527
