,database,scenario,fuelOrTech,year,season,tod,value
91,A.sqlite,solve,BIO,2018,fall,hr20,0.0
92,A.sqlite,solve,BIO,2018,fall,hr21,0.0
93,A.sqlite,solve,BIO,2018,fall,hr22,0.0
94,A.sqlite,solve,BIO,2018,fall,hr23,0.0
95,A.sqlite,solve,BIO,2018,fall,hr24,0.0
96,A.sqlite,solve,BIO,2018,winter,hr01,0.0
97,A.sqlite,solve,BIO,2018,winter,hr02,0.0
98,A.sqlite,solve,BIO,2018,winter,hr03,0.0
99,A.sqlite,solve,BIO,2018,winter,hr04,0.0
100,A.sqlite,solve,BIO,2018,winter,hr05,0.0
101,A.sqlite,solve,BIO,2018,winter,hr06,0.0
102,A.sqlite,solve,BIO,2018,winter,hr07,0.0
103,A.sqlite,solve,BIO,2018,winter,hr08,0.0
104,A.sqlite,solve,BIO,2018,winter,hr09,0.0
105,A.sqlite,solve,BIO,2018,winter,hr10,0.0
106,A.sqlite,solve,BIO,2018,winter,hr11,0.0
107,A.sqlite,solve,BIO,2018,winter,hr12,0.0
108,A.sqlite,solve,BIO,2018,winter,hr13,0.0
109,A.sqlite,solve,BIO,2018,winter,hr14,0.0
110,A.sqlite,solve,BIO,2018,winter,hr15,0.0
111,A.sqlite,solve,BIO,2018,winter,hr16,0.0
112,A.sqlite,solve,BIO,2018,winter,hr17,0.0
113,A.sqlite,solve,BIO,2018,winter,hr18,0.0
114,A.sqlite,solve,BIO,2018,winter,hr19,0.0
115,A.sqlite,solve,BIO,2018,winter,hr20,0.0
116,A.sqlite,solve,BIO,2018,winter,hr21,0.0
117,A.sqlite,solve,BIO,2018,winter,hr22,0.0
118,A.sqlite,solve,BIO,2018,winter,hr23,0.0
119,A.sqlite,solve,BIO,2018,winter,hr24,0.0
120,A.sqlite,solve,BIO,2018,winter2,hr01,0.0
121,A.sqlite,solve,BIO,2018,winter2,hr02,0.0
122,A.sqlite,solve,BIO,2018,winter2,hr03,0.0
123,A.sqlite,solve,BIO,2018,winter2,hr04,0.0
124,A.sqlite,solve,BIO,2018,winter2,hr05,0.0
125,A.sqlite,solve,BIO,2018,winter2,hr06,0.0
126,A.sqlite,solve,BIO,2018,winter2,hr07,0.0
127,A.sqlite,solve,BIO,2018,winter2,hr08,0.0
128,A.sqlite,solve,BIO,2018,winter2,hr09,0.0
129,A.sqlite,solve,BIO,2018,winter2,hr10,0.0
130,A.sqlite,solve,BIO,2018,winter2,hr11,0.0
131,A.sqlite,solve,BIO,2018,winter2,hr12,0.0
132,A.sqlite,solve,BIO,2018,winter2,hr13,0.0
133,A.sqlite,solve,BIO,2018,winter2,hr14,0.0
134,A.sqlite,solve,BIO,2018,winter2,hr15,0.0
135,A.sqlite,solve,BIO,2018,winter2,hr16,0.0
136,A.sqlite,solve,BIO,2018,winter2,hr17,0.0
137,A.sqlite,solve,BIO,2018,winter2,hr18,0.0
138,A.sqlite,solve,BIO,2018,winter2,hr19,0.0
139,A.sqlite,solve,BIO,2018,winter2,hr20,0.0
140,A.sqlite,solve,BIO,2018,winter2,hr21,0.0
141,A.sqlite,solve,BIO,2018,winter2,hr22,0.0
142,A.sqlite,solve,BIO,2018,winter2,hr23,0.0
143,A.sqlite,solve,BIO,2018,winter2,hr24,0.0
144,A.sqlite,solve,BIO,2020,spring,hr01,0.0
145,A.sqlite,solve,BIO,2020,spring,hr02,0.0
146,A.sqlite,solve,BIO,2020,spring,hr03,0.0
147,A.sqlite,solve,BIO,2020,spring,hr04,0.0
148,A.sqlite,solve,BIO,2020,spring,hr05,0.0
149,A.sqlite,solve,BIO,2020,spring,hr06,0.0
150,A.sqlite,solve,BIO,2020,spring,hr07,0.0
151,A.sqlite,solve,BIO,2020,spring,hr08,0.0
152,A.sqlite,solve,BIO,2020,spring,hr09,0.0
153,A.sqlite,solve,BIO,2020,spring,hr10,0.0
154,A.sqlite,solve,BIO,2020,spring,hr11,0.0
155,A.sqlite,solve,BIO,2020,spring,hr12,0.0
156,A.sqlite,solve,BIO,2020,spring,hr13,0.0
157,A.sqlite,solve,BIO,2020,spring,hr14,0.0
158,A.sqlite,solve,BIO,2020,spring,hr15,0.0
159,A.sqlite,solve,BIO,2020,spring,hr16,0.0
160,A.sqlite,solve,BIO,2020,spring,hr17,0.0
161,A.sqlite,solve,BIO,2020,spring,hr18,0.0
162,A.sqlite,solve,BIO,2020,spring,hr19,0.0
163,A.sqlite,solve,BIO,2020,spring,hr20,0.0
164,A.sqlite,solve,BIO,2020,spring,hr21,0.0
165,A.sqlite,solve,BIO,2020,spring,hr22,0.0
166,A.sqlite,solve,BIO,2020,spring,hr23,0.0
167,A.sqlite,solve,BIO,2020,spring,hr24,0.0
168,A.sqlite,solve,BIO,2020,summer,hr01,0.0
169,A.sqlite,solve,BIO,2020,summer,hr02,0.0
170,A.sqlite,solve,BIO,2020,summer,hr03,0.0
171,A.sqlite,solve,BIO,2020,summer,hr04,0.0
172,A.sqlite,solve,BIO,2020,summer,hr05,0.0
173,A.sqlite,solve,BIO,2020,summer,hr06,0.0
174,A.sqlite,solve,BIO,2020,summer,hr07,0.0
175,A.sqlite,solve,BIO,2020,summer,hr08,0.0
176,A.sqlite,solve,BIO,2020,summer,hr09,0.0
177,A.sqlite,solve,BIO,2020,summer,hr10,0.0
178,A.sqlite,solve,BIO,2020,summer,hr11,0.0
179,A.sqlite,solve,BIO,2020,summer,hr12,0.0
180,A.sqlite,solve,BIO,2020,summer,hr13,0.0
181,A.sqlite,solve,BIO,2020,summer,hr14,0.0
182,A.sqlite,solve,BIO,2020,summer,hr15,0.0
183,A.sqlite,solve,BIO,2020,summer,hr16,0.0
184,A.sqlite,solve,BIO,2020,summer,hr17,0.0
185,A.sqlite,solve,BIO,2020,summer,hr18,0.0
186,A.sqlite,solve,BIO,2020,summer,hr19,0.0
187,A.sqlite,solve,BIO,2020,summer,hr20,0.0
188,A.sqlite,solve,BIO,2020,summer,hr21,0.0
189,A.sqlite,solve,BIO,2020,summer,hr22,0.0
190,A.sqlite,solve,BIO,2020,summer,hr23,0.0
191,A.sqlite,solve,BIO,2020,summer,hr24,0.0
192,A.sqlite,solve,BIO,2020,summer2,hr01,0.0
193,A.sqlite,solve,BIO,2020,summer2,hr02,0.0
194,A.sqlite,solve,BIO,2020,summer2,hr03,0.0
195,A.sqlite,solve,BIO,2020,summer2,hr04,0.0
196,A.sqlite,solve,BIO,2020,summer2,hr05,0.0
197,A.sqlite,solve,BIO,2020,summer2,hr06,0.0
198,A.sqlite,solve,BIO,2020,summer2,hr07,0.0
199,A.sqlite,solve,BIO,2020,summer2,hr08,0.0
200,A.sqlite,solve,BIO,2020,summer2,hr09,0.0
201,A.sqlite,solve,BIO,2020,summer2,hr10,0.0
202,A.sqlite,solve,BIO,2020,summer2,hr11,0.0
203,A.sqlite,solve,BIO,2020,summer2,hr12,0.0
204,A.sqlite,solve,BIO,2020,summer2,hr13,0.0
205,A.sqlite,solve,BIO,2020,summer2,hr14,0.0
206,A.sqlite,solve,BIO,2020,summer2,hr15,0.0
207,A.sqlite,solve,BIO,2020,summer2,hr16,0.0
208,A.sqlite,solve,BIO,2020,summer2,hr17,0.0
209,A.sqlite,solve,BIO,2020,summer2,hr18,0.0
210,A.sqlite,solve,BIO,2020,summer2,hr19,0.0
211,A.sqlite,solve,BIO,2020,summer2,hr20,0.0
212,A.sqlite,solve,BIO,2020,summer2,hr21,0.0
213,A.sqlite,solve,BIO,2020,summer2,hr22,0.0
214,A.sqlite,solve,BIO,2020,summer2,hr23,0.0
215,A.sqlite,solve,BIO,2020,summer2,hr24,0.0
216,A.sqlite,solve,BIO,2020,fall,hr01,0.0
217,A.sqlite,solve,BIO,2020,fall,hr02,0.0
218,A.sqlite,solve,BIO,2020,fall,hr03,0.0
219,A.sqlite,solve,BIO,2020,fall,hr04,0.0
220,A.sqlite,solve,BIO,2020,fall,hr05,0.0
221,A.sqlite,solve,BIO,2020,fall,hr06,0.0
222,A.sqlite,solve,BIO,2020,fall,hr07,0.0
223,A.sqlite,solve,BIO,2020,fall,hr08,0.0
224,A.sqlite,solve,BIO,2020,fall,hr09,0.0
225,A.sqlite,solve,BIO,2020,fall,hr10,0.0
226,A.sqlite,solve,BIO,2020,fall,hr11,0.0
227,A.sqlite,solve,BIO,2020,fall,hr12,0.0
