,database,scenario,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,41838.796666105416,28025.50230760344,20167.254495255336,21868.472340030647,23606.236712819456,23578.115429510006,23576.461397999537,23376.969923123477,23036.608092857226,20556.915793384385
1,B.sqlite,solve,42021.71644553366,25720.29315003661,14849.126985271723,14209.530742781608,5933.125473706236,5695.355435430765,4899.170657152504,4898.453011957238,4894.315125614176,3822.1110837915603
