,database,scenario,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,5.9761326144757625,6.386024459379431,6.933739819115913,11.280224153554226,11.630603178257507,12.01022495890937,12.575328377881226,13.827158757085206,13.50650103899774,16.63523073243559
1,B.sqlite,solve,5.973468755952276,7.352667722014755,8.496936482639349,13.725665582183204,22.904303687410543,23.06995756922021,23.365555983727226,30.09663567974219,24.19226598775646,27.55610494274059
