,database,scenario,fuelOrTech,2016,2021,2026,2031,2036
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_NG_CC,0.0,15173.080992694018,15302.263136408468,15420.699522336541,18351.248636486533
2,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EX_COAL,3635.4755862417146,3500.4042278003235,3371.6639610306647,3244.2558970398504,271.79897666188367
4,A.sqlite,solve,EX_DSL_CC,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,EX_DSL_SIMP,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EX_HYDRO,551.9499982193379,566.8526483423703,566.8526483423706,566.8526483423708,566.852648342371
7,A.sqlite,solve,EX_MSW_LF,11.774933281642163,11.774933281642165,11.774933281642165,11.774933281642163,11.774933281642163
8,A.sqlite,solve,EX_NG_CC,4130.95149219365,577.1928640728654,328.1601877625282,239.534977691628,188.70312106762918
9,A.sqlite,solve,EX_OIL_TYPE1,7017.650000058564,27.07951502166361,0.0,0.0,0.0
10,A.sqlite,solve,EX_OIL_TYPE2,4801.5963224523775,0.0,4.958174309522096,1.9288546682097505,4.06870278103274
11,A.sqlite,solve,EX_OIL_TYPE3,2195.5820202564655,0.0,0.0,0.0,0.0
12,A.sqlite,solve,EX_SOLPV,100.42065893866987,100.42065893866986,100.42065893866986,100.4206589386699,100.42065893866989
13,A.sqlite,solve,EX_WIND,277.0277767494,277.0277767493999,277.0277767494,277.0277767494,277.02777674939995
